,state,trump_votes,harris_votes,last_updated
0,Kansas,741949,532475,2024-11-12T14:26:46.515000Z
1,Utah,873330,557407,2024-11-18T18:08:15.246000Z
2,Oregon,904547,1216305,2024-11-17T04:13:30.975000Z
3,Oklahoma,1036213,499599,2024-11-13T01:33:47.676000Z
4,New Mexico,423327,478727,2024-11-15T21:48:44.349000Z
5,Louisiana,1208269,766424,2024-11-09T11:00:41.278000Z
6,Washington,1505207,2221254,2024-11-17T02:20:49.462000Z
7,New York,3468143,4391123,2024-11-18T20:57:25.224000Z
8,Mississippi,708302,429231,2024-11-14T16:51:36.236000Z
9,Wyoming,192633,69527,2024-11-14T00:56:29.946000Z
10,Vermont,119393,235791,2024-11-13T17:08:52.904000Z
11,Delaware,214351,289758,2024-11-12T18:37:29.641000Z
12,Montana,351945,231761,2024-11-14T23:28:28.497000Z
13,Kentucky,1336227,700920,2024-11-08T22:58:57.487000Z
14,Virginia,2011637,2235958,2024-11-08T18:28:47.392000Z
15,Texas,6375376,4806474,2024-11-14T19:27:36.390000Z
16,Massachusetts,1234961,2072571,2024-11-11T17:40:36.960000Z
17,Illinois,2427013,3012186,2024-11-18T20:07:46.983000Z
18,Arizona,1764862,1577729,2024-11-18T02:17:10.459000Z
19,Pennsylvania,3539705,3417113,2024-11-18T21:02:38.651000Z
20,Colorado,1376905,1727379,2024-11-18T16:12:43.782000Z
21,Iowa,927531,707290,2024-11-18T18:56:05.472000Z
22,New Jersey,1954794,2197124,2024-11-18T20:15:31.776000Z
23,South Dakota,272081,146859,2024-11-09T23:31:50.048000Z
24,Missouri,1739476,1191139,2024-11-18T15:57:40.458000Z
25,Wisconsin,1697298,1667881,2024-11-08T22:45:37.683000Z
26,Georgia,2663110,2548014,2024-11-14T20:56:44.400000Z
27,Indiana,1715058,1160146,2024-11-14T20:31:18.698000Z
28,Nebraska,560553,364893,2024-11-18T15:27:28.568000Z
29,Alabama,1457704,769391,2024-11-07T21:26:29.365000Z
30,Connecticut,736881,991224,2024-11-18T17:02:20.961000Z
31,North Dakota,245943,111966,2024-11-09T23:32:41.824000Z
32,Hawaii,193169,312384,2024-11-07T15:18:43.410000Z
33,California,5747743,8879703,2024-11-17T17:45:36.701000Z
34,Minnesota,1519017,1656968,2024-11-13T23:17:24.062000Z
35,Tennessee,1964523,1055045,2024-11-15T18:45:25.599000Z
36,New Hampshire,395577,418493,2024-11-14T23:46:09.375000Z
37,Michigan,2804647,2724029,2024-11-10T04:03:32.209000Z
38,Nevada,751205,705197,2024-11-18T15:01:50.591000Z
39,North Carolina,2898139,2714587,2024-11-18T20:13:24.432000Z
40,Maine,374972,430795,2024-11-18T20:22:51.366000Z
41,Idaho,605144,274973,2024-11-14T14:51:25.342000Z
42,West Virginia,533556,214309,2024-11-14T20:37:31.599000Z
43,Ohio,3116579,2476003,2024-11-07T21:11:40.399000Z
44,Florida,6109549,4680890,2024-11-14T20:08:17.624000Z
45,South Carolina,1483747,1028452,2024-11-14T17:01:40.034000Z
46,Arkansas,758057,395855,2024-11-14T19:06:21.505000Z
47,Maryland,1011580,1804204,2024-11-18T20:18:31.930000Z
48,Alaska,178670,133995,2024-11-17T14:45:45.260000Z
49,Rhode Island,213021,282110,2024-11-11T19:20:18.520000Z
